Class	Average Difficulty	Additional Comments	Difficulty	Date
		Make sure you use sig figs!!	5	12/20/2019
		Having labs online made it easier to not mess up any numbers since we just watched videos of the guy doing the lab. The most entertaining part was that has face had the look of someone being held hostage.	2	12/16/2020
		Use sig figs, be thorough in your lab reports. Grade depends on the TA that you have but it is normalized at the end.	6	12/28/2022
		Most labs never take up the whole 3 hours which is nice. The workload was too time consuming considering it is only a 1 unit class. Your grade depends on your TA because all of the work is graded by the TA. Dr. David Hill was really good. Gave thorough explanations and was really nice to talk to. He was a harsh grader compared to the other TAs, but the final and class was curved at the end. 	7	1/2/2023
CHEM001B	5.62	Not as easy as 1A but it's not too hard. As always just know your stuff	5	3/29/2017
		Had Prof Mueller.  If you read the book, going to class is optional.  Practice homework problems and know concepts in great detail.  Final exam is difficult.	8	3/30/2017
		Sort of easier than 1A. Jason Cheng is a really good professor and funny at times. A lot of concepts are taught so go to lectures. I had clicker so you might too.	7	3/25/2018
		Took with Quan Cheng. If you understand how to use formulas and have a good TA it's not that bad of a class, but Cheng does not explain anything at all.	4	2/19/2019
		Had Prof Davies. His lectures were boring (nice accent though) and basically annotates his slides. Had 2 midterms and they were both hard (class average was low). He uses PollEverywhere for participation and Smartwork for homework.	7	3/7/2019
		Took it with Quan Cheng. He explained everything thoroughly. Just go over the questions during lecture, clicker questions, and do the Extra Homework since some of the questions on the exam stem from that. Overall, this class was not that hard.	6	3/25/2019
		Had Yinsheng Wang, not a bad professor by any means, but his exams are hit or miss, either really easy or ridiculously hard. Material itself isn't too bad to grasp, just make sure to understand the homework. Best way to get an A though is to read the textbook before lecture to get a grasp of the material ahead of time.	6	3/26/2019
		Had Dr. Chang and he's honestly really boring and its more worthwhile to read the book than to listen to his lectures. He has clickers so you're forced to go to class but as long as you do enough of them then you could honestly just go for the clicker and then just ditch. Overall CHEM001B isn't bad but it's a little more difficult than CHEM001A. I heard from my upperclassman friends that it's the hardest in the CHEM001 series, but we'll see. Just review the end of chapter problems, do the practice midterm, review the clicker questions, and the homework before the midterms/final and you'll be set! BTW he gives a lot of extra credit opportunities.	5	3/31/2019
		Not very hard, but make sure you do plenty of practice problems to prepare for exams; also David Hill is one of the tougher chemistry professors	6	6/15/2019
		Going to lecture is useless if you have Quan Cheng. A great guy, but he doesn't know how to utilize his time. I just stayed in the back and left after the clicker questions. Go over his practice tests! He copies and pastes some questions into the test and it's just good practice if you don't go to lecture. 	6	3/27/2020
		Took it with Cheng and the midterms and final were super easy because they were mainly based off of the practice exams and the homework.	3	3/27/2020
		Had Cheng. Exams are straightforward and should be easy if you study the stuff he gives you: clicker, hw, practice exams, back of book practice problems. The stuff shows up on exams. His class breakdown is VERY forgiving. Lots of opportunities to earn extra points. Got a C- on first midterm, but was able to make up those points and get an A in the end. 	5	5/8/2020
		Had Proff Zhao. Chem1B is very mathematical, lots of equations and solving word problems. As long as you know how to use equations given, you’ll be fine. Zhao is a pretty good teacher, would recommend his class. 	5	5/8/2020
		I had Dr. Linlin Zhao. Great professor, easy to understand, pretty good policies in syllabus. 2 midterms, final. Content not too difficult. 	6	6/2/2020
		[COVID-19 SPRING 20] I had this class ONLINE with Linlin Zhao. Attending the Zoom lecture was recommended and he occasionally tossed in some clicker questions to reward those who actively attended. Chem 1B builds off of the information you learned in Chem 1A so it's good to brush up on some of those topics. Like others are saying, this class is a lot of equations and plugging and chugging. The word problems are tricky too. Each chapter was a new concept for me, so it took me a while (and a lot of Khan Academy...) to fully understand the concepts and how the equations worked. Reading the textbook is extremely helpful and he bases most of his exam questions off of what he teaches on the slides. Zhao presents his information pretty thoroughly and takes the time to help students who are stuck. This class moves fairly quickly, so understanding all of the concepts is vital to earning a good grade. Unfortunately, the exams are all closed book and proctored. Clicker questions (20%), discussion points (10%), and homework (20%) make up 50% of the grade (as well as potential bonus points). For us, the homework had unlimited tries and there was no penalty for wrong answers. There are 2 midterms (10% each) and a final (30%). The exams aren't curved (I think), but the final class grade is based on a curve. Overall, I enjoyed this class a lot and I recommend taking it with Zhao!	7	8/26/2020
		I took it with Prof. Tim Su and he was amazing. I still got not so good grades on midterms and exams (like Ds lmfao) and thanks to his generous grading ended with a B+. He was an amazing prof as he really cared about his students. I would definitely suggest taking Chem 1B with him if you can	5	5/17/2021
		Not very easy but not very hard. Had Eichler and it was asynchronous. He is very good at explaining stuff. Graded by weekly canvas videos, weekly quizzes, hw on chem 101, midterm, final and discussion attendance. He offered extra credit throughout the quarter and his grading scale was point based. No matter how much the total is, as long as you got a certain amount of points then you got the letter grade assigned on the syllabus. 	5	3/17/2022
		I had Timothy Su and honestly he's a good lecturer/professor. My only complaint is that his tests were nothing like the homework/lectures. The wording was different, which threw me off. At the same time, I guess I could've started studying earlier for them. He lets you have a cheat sheet during the midterm/final though, which was pretty helpful. I feel like I learned a lot through the homework and lectures but the tests/my grade didn't reflect that.	6	3/18/2022
		I had it with Tim Su, straightforward notes, chill professor. his practice exams are almost identical to his midterms and finals; very helpful! attend review sessions with the TAs they help a lot	6	5/23/2022
		Took it with Professor Yin in Summer Session B, he's an amazing professor. He's very helpful and caring during office hours. He's also informative when going over the lecture slides with enough details. His midterms and finals are very similar and exact to the practice problems, if you understand better on the practice exams, you'll have no problem on doing the actual midterm and finals. Exams aren't too hard, they're pretty fair and able to solve them. Really recommended him.  	3	8/26/2022
CHEM01LB	3.25	Easier than CHEM001LA.  Not a lot of new material.	3	3/30/2017
		Easier than Chem01LA. 	5	3/25/2019
		Little harder than CHEM01LA. No extra credit ;-; quizzes get a little more detailed. TAs make it seem like the final is going to be killer but honestly just review everything in your manual and the quizzes and you should be fine.	3	3/31/2019
		Honestly I feel like CHEM01LB was easier than LA. Maybe cuz I got the hang of it this quarter but I feel like the lab reports weren't as hard. 	2	3/18/2022
CHEM001C	6.07	It's all equilibrium, once you understand it it's no problem	7	3/29/2017
		Eichler doesn't curve. Go to class--he doesn't really teach the book.	7	8/10/2017
		Jiang was chill but no curve :(	7	1/10/2018
		Easier than CHEM001B. Jiang is fair, though no curve. Lots of clickers and unlimited attempts (no penalty) on HW. Midterms look like clickers and practice exams.	5	6/14/2018
		The early two chapters about acids and bases are the toughest in the course and the difficulty drops off as you move through the course. 	5	6/15/2018
		Professor Min Xue was extremely fair. His exams were all similar to the homework and study guides he put out for us. Gives out a lot of bonus points as well	2	12/17/2018
		Class was pretty easy once you can see the patterns to the problems. Jiang is great, clickers and practice exams similar to actual exam. You almost have to learn to do the types of calculations for clickers on the fly, but they are fair enough	4	6/4/2019
		Had Ming Tang. Kinda hard to follow at times. Midterms and final are nothing like the practice versions. Read the book	7	6/15/2019
		Took it Dr. Eichler, a very fair professor and makes lectures fun to attend. I thought it was easier than CHEM001B just because some were stuff that we learned in previous chem classes. He offers a lot of extra credit and clicker questions and iLearn quizzes (which are worth more than midterms). His exams have free response questions which are harder than multiple choice questions so look out for those.	6	6/15/2019
		Dr. Eichler is a good professor and offers a lot of extra credit. I would recommend him. However, he does do mc AND frqs for his midterms and final.	6	6/15/2019
		Easiest of the series. Jiang was fair. Exams resembled clickers and practice exams. Extra credit is available but only if you get really high clicker and homework scores	3	6/15/2019
		"Had Eichler. He's a good lecturer, but he had us do this ""creative exercise"" where you had to write 10 statements about a certain chemical situation and most of your statements had to come from the material you just learned (which sounds easy until you actually do it). His midterms were not anything like other professor's midterms that I'm used to. Each exam has about half your points in free-response. Final had some curve ball questions -- make sure you know your material from past chem classes in the gen chem series..."	6	6/16/2019
		I took it with Ming Lee Tang and the class was...strange. Discussions are only quiz-based and none of the material from lecture really gets retaught in discussion. Midterms and the Final are pretty tough and under a normal grading scale, I believe around 60-70% of the class would have failed. She's not a very approachable teacher and the same goes for the TAs. Luckily, she's not a cruel professor and curved the class so that the average student got a B. For reference, class averages for the midterms and final were around D-F range. I got above average twice(about 1-3 points above) and below average once(1 point below), and I got a B+ in the class. Tang's class is really a tossup	8	6/17/2019
		Had Ming Lee Tang. Decent lecturer, but her exams were DIFFICULT. practice midterms did not reflect the difficulty at all and no amount of studying could have properly prepared me. Got a low C on both midterms and a D on the final, but the curve brought me up to an A so there's that.	8	6/20/2019
		Had Professor Harman. Uses smartwork which is very good resource for studying for the final and midterms. It was his first time teaching 1C and so it wasn't the best but better than Hill lol, but still he was a good lecturer and made me want to go to class and pay attention. If you read/ skim the book (for the conceptual questions) and do calculations similar to the ones on the homework, you can get good scores on midterms. Final he repeated questions from midterms so do go to office hours and TA office hours to see your exam and review the ones missed. 1C material isn't hard but the chapter on acid and base and its equilibria was I thought the hardest. Easier than 1B though imo.	6	12/12/2019
		i have no problem with how test heavy the grades are but i really hate how the professor teaches in his lectures.	9	12/14/2019
		Had Eichler (think that's how he spells it). This was my easy class for the quarter so I was able to kinda neglect it and pass but it got pretty tough so that's how I ended up with like a C in the class. Also, c'mon fellas... his jokes are funny stop trashing on him for it 	7	2/3/2020
		Took it with Jiang. Highly recommend not taking with Jiang if you don't already have experience with gen chem (ex: taking a year of chem in high school/ap chem) because he can tend to be very conceptual instead of mathematical (and the midterms are mathematical). The poll/clicker questions can be pretty difficult because he doesn't really teach them beforehand so you're kind of learning as you go. The homework can also be frustrating because in the later chapters he doesn't do a lot of practice problems that are similar to what's on the homework. The midterms are pretty ok as long as you review the quizzes, poll/clicker questions, and homework. Practice midterm was helpful too because he goes over it in class. Overall unless you don't have previous gen chem experience it's pretty manageable and fair. 	6	5/11/2020
		Had Ming Lee Tang Spring 2020. Cannot lecture to save her life and her train of thought is so hard to follow. Exams are hard and can not be compared to her quizzes and homework assignments. She curved it so that the top 30% got an A, middle 60% got Bs/Cs, and the bottom 10% failed. 	7	6/12/2020
		Take MingLee Tang! She is really considerate of her students during difficult times (COVID-19, fight against police brutality). She responds to emails faster than any of my previous professors, and she uses piazzi which is really useful	4	6/12/2020
		"First half was super easy. Second half ramped up the difficulty. It's not too bad as long as you do the homework. I had Jiang. There were no ""replacing of the midterm with final score"" type of redemption. But due to recent world events, he changed some grading to a ""no risk"" type of final. "	5	6/17/2020
		(Fall 2020 Via Zoom) I gave this class 7/10 in difficulty because I had a hard time working through the calculations. It's not like math where you know exactly what equation to use. You have to be able to read the word problem and realized if an acid is weak or not and from there see which, of the various equations, to use. I had Dr. Xue. He is a laid back professor and does a good job at teaching the material. He applies it to the real world as well. Homework is assigned through smartwork and is due at the end of the quarter before the final. He also assigned practice quizzes which are really important because they are exactly like the midterms and final. There are 2 midterms and 1 final. Your better score is weighted heavier so that you get a better grade and exams are not proctored. He also offers 100 EC for good questions. Each question is worth 1 extra point. There is also a decent curve. I was at a C+ and got a B.	7	12/28/2020
		Take with Professor Xue Min! Still have to do your Smartwork Homework but test questions are just like the homework problems with different numbers.Quizzes are optional. Grade is just homework, midterms, and final. Tests are all open note.	7	11/18/2021
		Avoid ryan julian; class itself is supposed to be easy(ish) and his tests are open notes but theyre timed like crazy and he rly is out to get his students. He posts slides missing important information, and gives difficult problems on tests on purpose. 3 quizzes instead of midterms, final worth 40% of grade, he thinks a 50% average on his quizzes is good :(	9	5/23/2022
		I took it with Eichler while in-person lectures, he's pretty chill professor and informative in lectures. He also post lecture videos on canvas where you do them and there's also lecture video quizzes that's worth a lot of points like a video quiz question that's worth 5 points. Polleverywhere questions are based on the materials and lecture vids, so do the lecture vids first before going to in-person lectures. Discussions are mandatory where you have to attend all of them to get attendance points, but Discussion TAs are pretty helpful at covering materials from lectures, and materials that'll be on the exams. For exams, they're mostly average to some that are difficult due to being more of an applicable qs than conceptual qs along with calculation qs as well. There's also FRQs for the exam which is based on mostly calculations, drawing, and write to explain your answer. So, do the practice problems, asking qs to TA/Eicheler's office hours, form a study group, go to SI, etc. Overall course is 1 midterm, 1 midterm re-take, 1 final, lecture vids/lecture quizzes/qs, discussion attendance, and poll qs. Grading is based on points grade cut-offs, earn as many points as you can. Eichler also do some extra credit points from either completing his potential surveys, answering pizzara qs that students post, etc. 	6	12/7/2022
CHEM01LC	7.29	Standard material.  Arguably easier than LB.	6	8/10/2017
		The labs manuals are already poorly written from when you take 1LA, but the 1LC manuals were the probably the worst written. Vague instructions on calculations, and you better hope you have a good TA 	5	6/4/2019
		Hardest lab of the series. The calculations are a bitch because the lab manual is HORRIBLE at explaining how to do them. When doing the lab reports, refer to your prelab and it helps but still the lab manual is the worst one out of the entire series. Some more complicated labs but nothing too crazy and most of the times I was out with good amount of time. The final wasn't bad I got a decent score and I studied the prelabs and the practice final and read over the major points in the lab manual. Good curve though, but still try.	9	12/12/2019
		Compared to the first two of the series this one was ridiculously hard. I breezed through the labs the first two quarters and was stuck for hours each week trying to finish the reports. You better hope you have a good TA who answers questions unlike mine. 	7	6/12/2020
		(Fall 2020 Via Zoom) I gave this class 8/10 in difficulty because the labs were very calculation heavy and had many little details. The quizzes were also pretty hard as you had to be able to recall the lab details. However, if you did well in 1LA and 1LB then you should be fine. The curve is also decent when it comes to the TA grading adjustments. I BOMBED the final (almost everyone did),  and I walked out with an A-. Try to take it with Brandon; he's chill and super helpful when it comes to answering questions.	8	12/28/2020
		CHEM01LC lab is harder than the previous two CHEM labs. A lot that you need to go through the lab manual along with lots of calculations. There's always a possibility where there's an error in lab experiment that can ruin your lab report's calculations/results. Grading can also depends on the TAs, some would give partial credits if you did the experiment wrong. So, go to TA's office hours to double check with the lab report and pre-lab for accuracies to get the full points. In terms of the final, the qs are very tough based on calculations, what did you learn from all the experiments, concepts from the lab manuals, and sometimes asked what materials you used for the experiment. Overall, practice doing the calculations for all experiments that do required them and understand what you did for each experiment/lab manual. 	8	12/7/2022
CHEM005	6.00	Content and labs are similar to genchem, but the labs emphasize precision and accuracy. Difficulty depends on the TA and when you take it. Some TAs require 5-ish page lab reports for every experiment and others don't. There are 12 labs total, so try not to take it in the summer because it was a 5 week session. Writing reports will prepare you for CHEM125W.	6	3/2/2020
		Had it with professor Cheng in the summer, he's was a pretty generous and kind professor. He was pretty understanding and his examples were pretty easy to follow. Tests weren't surprising. and they were open book and open notes (no internet). He has poll everywhere questions and credit does depend on whether you get it right or not, but almost everyone got full points. Material-wise, it's all just gen chem stuff, but more in depth. Curve was really generous. As for labs, because it was in the summer, we had a 4 hour lab period every day (mon-thurs). During the school year it's twice a week. The TAs are super nice and helpful, and overall are pretty generous graders. However, your lab grades do depend on how accurate and how precise you are. Just be extra careful when using those micropipettes and you should be okay. Lab reports can be pretty tedious and long, but the calculations are pretty straightforward and you are allowed to use excel. 	6	11/9/2022
CHEM008A	7.04	Note: Formerly CHEM012A		
		Hooley is a tough grader but a better teacher	10	3/26/2017
		if possible, take Cassleman 	6	3/31/2017
		O Chem 12 Ais a a good challenging class, when you finally understand, it all clicks	7	3/29/2017
		Hooley: Posts a lot of his own problem sets and practice exams with keys that really help for the MTs/Final. Go to SI. Fast paced lecture, but very good teacher. Mechanism focused, doesn't like nomenclature. 	6	4/5/2017
		Casselman is overrated; 90% of grades is 3 midterms. Study and memorize everything	8	12/24/2017
		For Switzer over summer 2018 > class is very fast paced but I still passed, average of the curve is set to be a B- and the standard deviation for the final was around 30, midterms were 14-15. The average for my class was 60+ though, study smart. I recommend doing textbook questions BUT at the end of 8B he told us that the manual for Carey had lots of errors when he was going through hw and that he doesn't even actually do the questions. He does select them and put them on the midterm though which is odd pretty sure as a last minute resort. Also there's a seating chart for his tests but he didn't post them until literally right before the test, I remember once he posted it a few minutes before the test began and all of us had to shuffle	9	9/11/2018
		Hooley talks kind of fast. All free response tests. Gives a lot of study materials that really help on the test. 	8	12/14/2018
		Casselman is cool. Work on problem sets and invest in Organic Chemistry as a Second Language as a supplemental book.	4	3/30/2019
		dude casselman sucks he literally is like a 5 year old.  if you put him in a bad mood your grade gets affected. I rather take it with Pirruing than this mutha fucka	7	11/4/2019
		Casselman grades the exams very harshly. There is no partial credit. He does not teach well either. I would suggest taking Hooley or some other professor. 	7	12/10/2019
		Just study don't memorize and you should be good :)	3	12/10/2019
		Take with hooley, if you do his problems you will atleast pass his class.	7	12/15/2019
		Took it with Casselman. Good professor but class is very difficult. About 50% receive As/Bs. Grades are determined mostly by exams (85% - M1+M2+Final), the rest of the points is by online assignments which are easy. I recommend Casselman for people, but your success will be determined solely through your outside study. He gives practice exam sessions which are not there for learning but to get a grasp on the structure of the exams. I highly recommend you to get Organic Chemistry as a Second Language, it is the reason why I got an A.	8	12/16/2019
		I had Casselman for Fall 2019. Majority of your grade will be coming from the midterms and final exam, so it is important to do well on them. I highly recommend going to office hours and reviewing the material after every lecture to get used to it. Taking this class was difficult because you have to learn how to visualize and think in 3D to understand what is going on. Otherwise, if you are able to do that, you should be able to breeze through the exams just fine. For the exams, I recommend you to go through both the practice sets and the practice exam problems that Casselman gives out AND go to the review sessions! 	9	12/18/2019
		Casselman has almost no homework--which if you're like me and need a ton of practice problems is quite bad sometimes. His exams were fair but a little hard. He's an awesome lecturer though :)	8	12/18/2019
		Ochem is hard and definitely do not slack off! Stay on top of your studies and even get ahead so you can be more prepared for the exams. Do A LOT OF PRACTICE QUESTIONS, it'll definitely help (recommend David Klein's Ochem as a Second Language).	7	12/19/2019
		Casselman is a great Professor and made the class much easier	5	3/11/2020
		Took with Casselman. Honestly was not as bad as people say. As long as you study; go over the ppts, watch yt videos, go to SI you will be FINE!! It gets hard but as long as you keep up and do not give up it will get easy!	7	3/16/2020
		Had Casselman for Winter 2020. I had a good ass time in 8A because I used Organic Chemistry as a Second Language, so I highly recommend that and do the practice problems. Casselman is a really good lecturer and his teaching style is very simplified and breeze that it made 8A material easier. I didn't read the textbook at all and walked out with an A, just wrote down notes, studied that and did tons of practice problems. Oh and forsure go to the session reviews he holds, those help a lot in terms of going over how to do his exams and how he wants things which helps a lot. Highly recommend Casselman for 8A	6	3/30/2020
		I took it was Casselman while classes were online. The material is definitely difficult, so I would recommend going to SI regularly from the beginning of the course. Lectures are recorded and uploaded onto iLearn. He provides a lot of points with assignments which helps to balance out the final. Since we were online, we didn't have any midterms and our final was open note. Instead of a midterm, we had weekly in-class activities/learning modules based on the material covered that week. It was basically group-work, so they were just free points. 	8	12/16/2020
		Casselman did a great job adjusting for online. He keeps a google drive folder updated (daily) w the annotated slides, class activities, practice questions, and anything else from lecture. He also has a series of videos on youtube going over concepts in greater detail. No midterms, but a thorough final. Homework is based on slides and textbook, but still takes some thinking bc it's mostly free response. Tbh homework is more like a weekly quiz but you get a week to work on it. He also posts the homework keys, which is super helpful for final review. Oh yeah, he also hosts review sessions starting a few weeks before the final, they go over literally everything using practice problems that he then solves for you.	7	1/4/2021
		Took with Casselman, Winter 2021. Expect it to be difficult. Casselman's structure for the panoramic was top tier, most of your grade is homework/activities and as long as you have almost all of those points, the final will just decide if you get a C,B, or A. Go to SI discussions and just stay on top of your stuff. 	8	3/19/2021
		This course with Larsen is the reason for me dropping out of CNAS. 	10	8/24/2021
		"Winter 2022 Casselman was a good lecturer up until we were behind and he crammed 5 lectures into 2 days and expected us to have everything nailed. Exam was MC and free response. No homework. There is already a set grading scale, and emphasized on ""not curving"" 85% were exams. There was a lot of opportunities to improve your grade. STUDY EVERYDAY. Cramping simply does not work for this class"	9	3/19/2022
		this was a difficult class. i took larsen. i was absolutely positive i failed the class since i was getting 30s on exams when the averages were 50-60 range but i was so surprised when grades came out and i received a C-. so overall the curve was so fat but i learned absolutely nothing. i wish i went to office hours (i couldnt because conflicting with another class) to gauge how she was as a person but she seemed nice enough for an ochem prof. her notes are super disorganized though. i used youtube and it was enough to know some necessary things.	10	5/15/2022
		I took it with Casselman. He absolutely made CHEM008A more manageable to learn and understand well with the materials. His lectures are easy to follow and understandable. His exams are quite fair based on how much practice you've been doing from the weekly practice activity he did every Friday and the self-assessments. He's also quite helpful during office hours where he'll let you try answer the problems first, then he'll guide you the rest when you're unsure of solving your questions. Overall, he's a pretty nice and caring professor. If you want to succeed more, then do the optional textbook problems he will assigned which makes you more well-prepared, and/or get more supplementary instructions from the SI leaders which were also quite helpful to me for more understanding of what Casselman covered in lectures.  	7	4/1/2023
CHEM08LA	6.00	Easy if you spend a decent amount of time on lab work.  Final is easy if you read all the manuals again.	4	12/15/2017
		The lab itself is kinda fun but the post labs can be extremely hard since the lab moves faster then lecture at times. Invest in a chegg account and you will be ok. DO NOT sleep on the final, its not terribly hard but alot of people fail it and its worth more than half your grade	7	12/12/2018
		Memorize the manual aka look for bolded words and make sure to pay attention to any pictures or diagrams you see.	3	3/30/2019
		Relatively easy. Make sure to read lab manual before class, quizzes can be difficult and specific. Final is pure memorization, you are given 80 questions to remember and 24 will be picked out to be used in the exam. My only problem was with the method they used to distribute grades. I got a B with a 92. Hooley decided it was best to rank students in their lab section against one another. fk hooley	5	12/16/2019
		"Your overall grade in this class is determined by your scores in the lab reports and the final assessment. The final assessment is the easiest part of the lab. They will provide you both the questions and answers for the final assessment, so I recommend you practice these questions over the quarter on a regular basis to memorize the answers and score perfect on this category. What determined your final grade came from how well you did overall in the class RELATIVE to your peers in all lab sections. Many people found out the hard way that their ""raw score"" didn't not exactly correlate with their final score. (e.g. 94% raw score is actually a B in the class because Hooley gave out letter grades after ""adding the normalized lab scores (average ~200), the lab exam (average ~230), ranking the class and assigning grades based on that ranking. [...] Your grade is NOT dependent on a raw score, it is dependent on your position in the class."" So beware of that. :) "	7	12/18/2019
		Took it during COVID. Honestly your TA makes or breaks your experience. My TA was really bad, so I had to go other TA's office hours to get help with the lab reports. The labs weren't too confusing to understand, but sometimes they word things weirdly and I would need clarification on that. The lab final focused a lot on the material from experiments 1-5 in my opinion (chair structures, IR spectra, acids and bases are the main topics I can think of). Don't think you can study for the final in one day, because you won't be able to.	6	12/16/2020
		The overall lab grade really depends how much your Lab TA will be lenient or strict. For me, my lab TA was a first-timer TA. So, overall made my experiences in CHEM08LA a bit more lenient. For the materials/labs, it's very time consuming despite that it's not that difficult to them as there's multiple parts with repeated steps in certain labs. The very first wet lab made my lab went overboard on the timing since it took forever to obtain the necessary data. So, just plan ahead on what you will need to do and get started asap so that you don't have to wait in line to grab the necessary materials. In terms of the grading, it really depends on how well you do in the lab, the experiment data, and your understanding throughout the labs. So, just double check your understanding and lab report during any TA's office hours or by emailing for feedbacks/extra help.  The lab final were alright since it's based on the tophat qs and what you did throughout the previous labs along with calculation qs when doing reagent tables. Overall, the lab is quite average in terms of understanding the materials and the procedure you will be doing for each lab. 	7	4/1/2023
CHEM008B	7.95	Note: Formerly CHEM012B		
		Avoid Morton	10	3/26/2017
		Larsen jumps around when lecturing 	10	3/29/2017
		If you have Larsen, first of all I'm sorry, but seriously  just memorize all her notes	9	3/29/2017
		Take Casselman if he's teaching it. Larsen is an okay second choice, though she as a professor can be confusing. Avoid Pirrung and Morton. 	7	3/31/2017
		So much material. So little time. Stay away from Morton. Pirrung was good 	9	3/31/2017
		"Morton: Talks slow, writes slow, and yet you still are lost during lecture. Go to SI and find outside help. Become a master at and keep up with his ""unknowns"" example problems. Exams are very challenging and time pressured. Average 35-40%. Posts a couple past exams with no answer keys."	7	4/5/2017
		100% exam based	10	3/27/2018
		Hard grading and exams in Hooley.  His average is a B- tho.  Posts a lot of practice exams that are really helpful.  No need to read the book but definitely show up to class	8	4/2/2018
		Larsen: Memorize reactions & basic mechanisms. Mostly MC, free response is drawing products/starting materials. It's funny when she yells at people outside the lecture hall.	6	5/17/2018
		Hooley is a fair professor. Make a godly cheat sheet (aka copy down all your notes) and you will be fine.	7	3/30/2019
		had casselman for 8B. it was a lot of material, and he knows it so his exams arent that hard. As long as you know what youre doing and you feel comfortable with the rxns, you'll be fine.  if u care about your gpa, go to SI. 	8	6/17/2019
		had casselman for spring 2020. It was tough way harder than 8a. you NEED to go over notes and do practice problems, dont fall behind because theres so many reactions etc. Last 2 weeks of the quarter, he becomes super moody and thats when everyones grades drop so do good before hand. I was going to get an A but ended up with a B bc he gave me a 30% one the last hw when my hw avg was 92%. 	8	6/14/2020
		Took Spring 2020 with Switzer. His lecture notes are kinda dry, but if you read the textbook it helps alot as his notes are just a summary of the readings. I did the practice he assigned and a few did show up on the midterms (word for word) but you can get away with not doing them and still getting a decent score. FATTT curve for online 2020 (said he'd curve the same for summer 2020) and he is very caring as he made our final optional. Overall he isn't a bad lecturer but I did read the book and did practice problems as his notes are kinda dry.  	6	6/16/2020
		Kevin Kou is the best OCHEM professor I've ever had! His grading scale is really nice, his lecture notes are very clear, and although the exams are free response and pretty difficult, they are fair. As long as you do your part, you'll pass. He's very kind and truly cares about his students. the best professor at UCR 	6	3/17/2021
		I had Kou for this class during COVID and I didn’t really like his teaching method. He is a really nice guy but the exam format and homework doesn’t help at all. There are 2 midterms, both worth 22.5% and a final worth 35%. He gives out free-response exams, which don’t really make sense and for a class like organic chemistry, it makes learning the material for the class even harder. His practice tests and homework don’t really help when studying for this class. 	9	3/19/2021
		TAKE KOU!! best professor ive ever had and genuinely cares about his students which makes a big difference in a really difficult course like ochem. he did redemption on the final for winter 2020 but final was cumulative. VERY FAIR GRADER 	9	3/19/2021
		(Took online in Winter 2021) Dr. Kou is the GOAT. He cares a lot about his students, is extremely nice to everyone, and is always looking to improve or make changes to make the experience better for students. He always stays an extra hour or more during office hours and sometimes stays after lecture as well to answer questions. The content of this class is difficult and definitely requires a lot of studying, but his exams are fair. The problem sets are optional but definitely help a lot in preparing for exams. He grades fairly and he also allows regrades on Gradescope. He handwrites all his notes and they are really neat. Dr. Kou is probably one of the best professors at UCR and I highly recommend taking his class. He also bumps you up a grade letter if you are borderline. (I was ~1% away and he rounded up for me and I heard he rounded someone up 3% to the next grade letter, so he is very generous).	8	3/22/2021
		I had Dr. Kou for this class during COVID. Dr. Kou was one of the best and most understanding professors throughout the pandemic. You could tell that he genuinely cared about his students. Personally, I found the final to be the hardest, then the first midterm, and then the 2nd midterm. I would HIGHLY recommend going to SI as much as possible. I think that was the main thing that contributed to me getting an A in the class. He will also most likely assign problem sets throughout the chapter. I would also suggest keeping up with those, instead of saving them all for the week before the exam. The material in this course is inherently more difficult than that in CHEM008A, which is the only reason I would give it a relatively high difficulty score. 	7	3/25/2021
		"Kou (winter 2023): Dr. Kou is really nice, but be prepared for fully free response tests. If you're adjusted to a different professor's teaching style from 8A (like Hooley with his cheat sheets) and you can take them again, I would recommend it. Same grading scale as Casselman, same ""I won't curve"" mentality. Our first exam was curved by 2% (down to the highest score since no one got 100). Otherwise, the other two exams were not individually curved. The all FRQ with no cheat sheet can be really difficult, lots of mechanisms to know for 8B. Kou takes the notes with you during class and will stop to write down important points, he really does want us to learn. Lots of problem set practice and go to OH/SI if you can. I scored around average on all my exams and got all my participation (poll ev) points, should've ended with a D+, but because of my average scores and full participation, he curved me to a C (without me even asking!!). "	9	3/31/2023
		Take with Hooley if you can, his exams are hella curved, basically if you get around a 50% on each exam you'll definitely pass. DO THE PROBLEMS SETS AND MOCK MIDTERMS, it will all be similar to the exam. Overall if you put in the work its not a hard class.	6	4/6/2023
CHEM08LB	5.25	Harder material than LA.  Large curve overall	6	4/2/2018
		Fast labs. Not too much to memorize for the final. Keep a look out for emphasized detail in the manuals like color changes and specific processes.	4	3/30/2019
		Labs are generally easy and finished with good amount of time. TA wasn't too picky and the final was just memorizing the given questions and answers, so it wasn't bad. Sometimes the lab does go ahead of lecture so beware of that, but experimentally isn't hard as you learn all new stuff like C13 in the begninning.	5	12/16/2020
		(during COVID) Pretty similar to CHEM08LA in terms of difficulty. I would recommend completing your lab report as early as possible so you have ample time to ask your TA questions. I did that for the second half of the quarter and that helped my grade a lot. I would also recommend reviewing the corrections you get on your graded reports. My TA messed up my grading A LOT, so I was able to get back a bunch of points just by checking his work. The final was easier than CHEM08LA's final in my opinion. 	6	3/25/2021
CHEM008C	7.11	Note: Formerly CHEM012C		
		Take Switzer if you can, he's very clear about what will be on the exam and gives good lecture notes on ilearn	8	7/7/2017
